Statistical information for the repository 'django' was gathered on 2026/09/08.
The analyzed branch was 'main'.
The following historical commit information, by author, was found in the
repository:

Author                     Commits    Insertions      Deletions    % of changes
007                              2            74              7            0.00
0saurabh0                        1            48              3            0.00
4the4ryushin                     1            13              1            0.00
93578237                         1           153             24            0.01
=Pratik Kumar                    1            42              4            0.00
Aarni Koskela                    5           139             89            0.01
Aaron Chong                      1             8              9            0.00
Aaron Elliot Ross                2            52             18            0.00
Aaron France                     2            75             17            0.00
Aaron Linville                   1            29              0            0.00
Aaryan P                         2            78             19            0.01
Abeer Upadhyay                   1            12              0            0.00
Abhaya Agarwal                   2            41              3            0.00
Abhijeet                         1             7              0            0.00
Abhijeet Viswa                   2            83             26            0.01
AbhimanyuGit2507                 1            22              2            0.00
Abhinav Patil                    1            25              3            0.00
Abhinav Yadav                    1             9              2            0.00
Abhishek Ghaskata                1             1              1            0.00
Abhyudai                         1             5              0            0.00
Abraham Martin                   1             8              0            0.00
Ad Timmering                    10           268             77            0.02
Adam Allred                      1             1              1            0.00
Adam Alton                       3            12              5            0.00
Adam Avramov                     2            58             88            0.01
Adam Bogdał                      3           113              8            0.01
Adam Brenecki                    1            36              6            0.00
Adam Chainz                     51          1030            470            0.08
Adam Chidlow                     1            21              2            0.00
Adam DePue                       1            20              0            0.00
Adam Dobrawy                     1             4              1            0.00
Adam Donaghy                     4           137             15            0.01
Adam Haney                       1             1              1            0.00
Adam Johnson                   201          6603           2911            0.51
Adam Malinowski                  1             0             29            0.00
Adam Taylor                      1            28             28            0.00
Adam Wentz                       1             8              3            0.00
Adam Wester                      1           131            354            0.03
Adam Wróbel                      1            32              2            0.00
Adam Zahradník                   1             1              1            0.00
Adam Zapletal                   13           189             56            0.01
Ade Lee                          1            43             22            0.00
Adit Biswas                      1            21              0            0.00
Adnan Umer                       7           237             64            0.02
Adonys Alea Boffill              4            37              7            0.00
Adrian D'Alessandro              1             1              0            0.00
Adrian Holovaty               1616         67778          35201            5.57
Adrian Torres                    2           133             21            0.01
Adrien Lemaire                   1            32             32            0.00
Ahmad A. Hussein                 5           179             49            0.01
Ahmed Ibrahim                    1            97              3            0.01
Ahmed Mohamed                    2           149             16            0.01
Ahmed Nassar                     5           189             50            0.01
Ahmet Kucuk                      2            23              1            0.00
Aivars Kalvans                   1            81             10            0.00
AjmalPonneth                     1             1              0            0.00
Akash Kumar Sen                  8           717             87            0.04
Akis Kesoglou                    4           405             61            0.03
Akshat Sparsh                    1            30              2            0.00
Akshat1Nar                       1             1              1            0.00
Akshesh                         27          1263            468            0.09
Alain IVARS                      1            87             53            0.01
Alan Crosswell                   1            16             10            0.00
Alasdair Nicol                  29          1701            766            0.13
Albert Defler                    6           204             26            0.01
Albert Wang                      1            31              7            0.00
Alberto Avila                    1            12              1            0.00
Alberto Planas                   1             5              4            0.00
Aldian Fazrihady                 1             1              1            0.00
Alec Kerrigan                    1             1              1            0.00
Alejandro Dubrovsky              1            19              0            0.00
Alejandro Gómez                  1            33              1            0.00
Alejandro Sánchez                1             1              1            0.00
Alejandro Zamora                 1            58              5            0.00
Aleksander Budzinski             1             4              2            0.00
Aleksandr Safonov                1             8              8            0.00
