Statistical information for the repository 'jquery' was gathered on 2026/09/08.
The analyzed branch was 'main'.
The following historical commit information, by author, was found in the
repository:

Author                     Commits    Insertions      Deletions    % of changes
Adam Coulombe                    1            50              2            0.00
Adam J. Sontag                   5            20              7            0.00
Aditya Raghavan                  3            47              3            0.00
Ahmed.S.ElAfifi                  1            39             14            0.00
Akintayo Akinwunmi               1             9              3            0.00
Alex Padilla                     2            36             19            0.00
Alex Sexton                      5            23             17            0.00
Alexander Farkas                 5            92             79            0.02
Alexander K                      1            12             33            0.00
Alexander Lisianoi               2            39             14            0.00
Alexander O'Mara                 1             1              1            0.00
Alexis Abril                     1            24              3            0.00
Allen J Schmidt Jr               1            38              1            0.00
Amey Sakhadeo                    2            22              6            0.00
Anders Kaseorg                   1             5              2            0.00
Andrea Giammarchi                1             1              1            0.00
Andreas Solleder                 1             2              2            0.00
Andrei Fangli                    1            16              5            0.00
Andrew E Monat                   1             0              6            0.00
Andrew Plummer                   1            16              2            0.00
Anne-Gaelle Colom                1             2              3            0.00
Anthony Ryan                     2             7             14            0.00
Anton Kovalyov                   1             7              2            0.00
Anton Matzneller                32           324          14148            1.28
Anton Ryzhov                     2            15              2            0.00
Apoorv Darshan                   1            57             10            0.01
Ariel Flesler                  192         14634           3103            1.57
Arne de Bree                     2            31              3            0.00
Arthur Stolyar                   1            33             17            0.00
Arthur Verschaeve                1             1              1            0.00
Aurelio De Rosa                  2            74              7            0.01
Bastian Buchholz                 1             1              1            0.00
Batiste Bieler                   1            19              3            0.00
Ben Alman                       12           288            133            0.04
Ben Toews                        1            31             20            0.00
Benjamin Truyman                 2            49              4            0.00
Benjy Cui                        1             2              2            0.00
Bennett Sorbo                    1            13              3            0.00
Berker Peksag                    1             2              7            0.00
Bernhard M. Wiedeman             1             2              2            0.00
Bert Zhang                       1             7              0            0.00
Bin Xin                          1            10              0            0.00
Boom Lee                         1             2              2            0.00
Brandon Aaron                  239          5912           4368            0.91
Brandon Sterne                   1            21             11            0.00
Brian Brennan                    2            38              4            0.00
Bruno PIERRE                     1            10              7            0.00
Bruno Pérel                     1             6              6            0.00
Carl Danley                      1            54             43            0.01
Carl Fürstenberg                 1            15              0            0.00
Chad Killingsworth               1           585            575            0.10
Charles McNulty                  5            47             22            0.01
Chris Antaki                     7            66             64            0.01
Chris Faulkner                   1            19             19            0.00
Chris Price                      1             1              1            0.00
Chris Rebert                     1             0              1            0.00
Chris Talkington                 2            32              6            0.00
Christian Grete                  1            14              1            0.00
Christian Kosmowski              1             1              1            0.00
Christian Wenz                   1            55              0            0.00
Christopher Jones                1           534            215            0.07
Colin Snover                    52          4435            631            0.45
Connor Atherton                  2           121              8            0.01
Corey Frang                     53          8488           1389            0.88
Corey Jewett                     6            43             14            0.01
Dallas Fraser                    1            17              2            0.00
Damian Senn                      1             9              5            0.00
Dan Hart                         1            23              0            0.00
Dan Heberden                    14           158             94            0.02
Daniel Chatfield                 2            27              7            0.00
Daniel Gálvez                    2            67             37            0.01
