Statistical information for the repository 'pango' was gathered on 2026/09/08.
The analyzed branch was 'main'.
The following historical commit information, by author, was found in the
repository:

Author                     Commits    Insertions      Deletions    % of changes
3                                2            24              8            0.01
5                                1             3              1            0.00
8                                1             4              4            0.00
Aaron Boxer                      2            13             24            0.01
Aki Sakurai                      1             1              1            0.00
Akira TAGOH                      3            34              5            0.01
Alberto Ruiz                    96           226            207            0.08
Alessandro Astone                1            41             13            0.01
Alessandro Pignotti              9            52             35            0.02
Alex Larsson                    11           186             74            0.05
Alexander Kanavin                1             1              1            0.00
Alexander Larsson               26         11785           8386            3.78
Alvin Wong                       1            17              0            0.00
Anders Carlsson                  5          1634              9            0.31
Artem Rebrov                     1            16             12            0.01
Behdad Esfahbod               1411         82867         112111           36.57
Benjamin Otte                   32          1238           1684            0.55
Bilal Elmoussaoui                6            77             16            0.02
Biswapriyo Nath                  2             2              0            0.00
Caleb Hearon                     2           115             64            0.03
Carl Worth                       1             3              1            0.00
Carsten Pfeiffer                 1             3              0            0.00
Changwoo Ryu                    15           677            281            0.18
Chema Celorio                    1             1              1            0.00
Chookij Vanatham                11          3450            720            0.78
Chris Wilson                     2           132             75            0.04
Christian Hergert                3            11              8            0.00
Christian Persch                 2            40            153            0.04
Christoph Reiter                 6           186             17            0.04
Christopher Blizzard             3           419             25            0.08
Chun-wei Fan                    75          4182           1475            1.06
Cody Russell                     2             4              1            0.00
Colin Walters                    5            62             16            0.01
Darin Adler                      4            57             63            0.02
David E. Hollingswor             1             6              7            0.00
Dominic Lachowicz                1             1              1            0.00
Dominique Quatravaux             1             2              2            0.00
Dov Grobgeld                    11           830             22            0.16
Ebrahim Byagowi                  2             9              9            0.00
Egmont Koblinger                 1             2              2            0.00
Elliot Lee                      11           200             70            0.05
Elliott Sales de And             3           396            232            0.12
Emmanuele Bassi                 40           809            423            0.23
Eric Mader                       4          2077             54            0.40
Evan Nemerson                    2           381            338            0.13
Evgenii Gurianov                 1            12              7            0.00
Fabian Groffen                   1             1              0            0.00
Fabrice Fontaine                 1             1              1            0.00
Federico Mena Quinte             8          8906            348            1.74
Felix Yan                        1             1              1            0.00
GitS7                            2             7              6            0.00
Guido Günther                    1             1              1            0.00
Guillaume Ayoub                  1             1              1            0.00
